재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기 3분기 3개월,당기 3분기 누적,전기 3분기 3개월,전기 3분기 누적,전기,전전기
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,entity00148540_udf_IS_201711820307453_IncomeStatementAbstract,영업수익,24958591000,1.05135E+11,22981066000,99202002000,,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,entity00148540_udf_IS_2017118203021492_udf_IS_201711820307453_IncomeStatementAbstract,   배당금 수익 등,,33883437000,,33081247000,,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,entity00148540_udf_IS_2017118203032362_udf_IS_201711820307453_IncomeStatementAbstract,   로열티 수익 등,23383474000,65771022000,21023299000,60229168000,,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,entity00148540_udf_IS_2017118203059690_udf_IS_201711820307453_IncomeStatementAbstract,   임대료 수익,1575117000,5480483000,1957767000,5891587000,,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,entity00148540_udf_IS_2017118203139276_IncomeStatementAbstract,영업비용,-16950314000,-44271337000,-11774344000,-34703820000,,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,dart_OperatingIncomeLoss,영업이익,8008277000,60863605000,11206722000,64498182000,,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,entity00148540_udf_IS_2017118201127563_IncomeStatementAbstract,기타순손익,25296000,797384000,96723000,589404000,,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_FinanceIncome,금융수익,97992000,324822000,859982000,2179694000,,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_FinanceCosts,금융비용,744762000,2231094000,2386345000,7205351000,,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_ProfitLossBeforeTax,법인세비용차감전순이익,7386803000,59754717000,9777082000,60061929000,,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_IncomeTaxExpenseContinuingOperations,법인세비용,1639068000,6869929000,2035987000,7404950000,,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_ProfitLoss,분기순이익,5747735000,52884788000,7741095000,52656979000,,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_EarningsPerShareAbstract,주당순이익,,,,,,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_BasicEarningsLossPerShare,   보통주 주당순이익,198,1854,268,1848,,
"손익계산서, 기능별 분류 - 별도재무제표",[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2017-09-30,3분기보고서,KRW,ifrs_DilutedEarningsLossPerShare,   보통주 희석주당순이익,198,1849,267,1842,,
"손익계산서, 기능별 분류 - 별도재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_Revenue,매출액,1.33408E+12,3.84412E+12,1.19608E+12,3.56993E+12,,
"손익계산서, 기능별 분류 - 별도재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_CostOfSales,매출원가,1.21134E+12,3.47989E+12,1.08049E+12,3.22837E+12,,
"손익계산서, 기능별 분류 - 별도재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_GrossProfit,매출총이익,1.22743E+11,3.64229E+11,1.1559E+11,3.41557E+11,,
"손익계산서, 기능별 분류 - 별도재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,84525428091,2.5105E+11,78089383390,2.30429E+11,,
"손익계산서, 기능별 분류 - 별도재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,dart_OperatingIncomeLoss,영업이익,38217087414,1.13179E+11,37500275896,1.11129E+11,,
"손익계산서, 기능별 분류 - 별도재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_FinanceIncome,금융수익,4153720992,22792478629,879770478,20216326140,,
"손익계산서, 기능별 분류 - 별도재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_FinanceCosts,금융원가,12103390333,38827952657,17153226275,49241947695,,
"손익계산서, 기능별 분류 - 별도재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,dart_OtherGains,기타수익,137395272,4174508422,456594102,2212238296,,
"손익계산서, 기능별 분류 - 별도재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,dart_OtherLosses,기타비용,15091054244,49291740591,21931755838,60407596285,,
"손익계산서, 기능별 분류 - 별도재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,entity00113410_udf_IS_201711612233207_IncomeStatementAbstract,종속기업투자수식처분이익,0,53944380,0,407905459,,
"손익계산서, 기능별 분류 - 별도재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,entity00113410_udf_IS_201711612245977_IncomeStatementAbstract,종속기업투자주식손상차손,7641548070,7641548070,2457946701,4885469205,,
"손익계산서, 기능별 분류 - 별도재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,entity00113410_udf_IS_201711612254727_IncomeStatementAbstract,관계기업투자주식손상차손,-750000000,-2250000000,0,0,,
"손익계산서, 기능별 분류 - 별도재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_ProfitLossBeforeTax,법인세비용차감전순이익(손실),6922211031,42188891867,-2706288338,19430299637,,
"손익계산서, 기능별 분류 - 별도재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2017-09-30,3분기보고서,KRW,ifrs_IncomeTaxExpenseContinuingOperations,법인세비용,5392089906,15117092985,352758391,2312572124,,
